[Aim] acquire | track locked
[Visual] aim step 60/200 | phase=center | uv=(-0.022,-0.221) | target=(+0.400,+0.000) | delta=(-0.022,-0.221) | scale=0.039 | droll=-0.18 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.18 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=108x108
[Visual] aim step 61/200 | phase=center | uv=(-0.020,-0.223) | target=(+0.400,+0.000) | delta=(-0.020,-0.223) | scale=0.039 | droll=-0.17 | ds1=-1.87 | ds2=+0.94 | req_roll=-0.17 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=109x109
[Visual] aim step 62/200 | phase=center | uv=(-0.017,-0.223) | target=(+0.400,+0.000) | delta=(-0.017,-0.223) | scale=0.038 | droll=-0.14 | ds1=-1.87 | ds2=+0.94 | req_roll=-0.14 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x107
[Visual] aim step 63/200 | phase=center | uv=(-0.014,-0.223) | target=(+0.400,+0.000) | delta=(-0.014,-0.223) | scale=0.038 | droll=-0.12 | ds1=-1.87 | ds2=+0.94 | req_roll=-0.12 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x107
[Visual] aim step 64/200 | phase=center | uv=(-0.014,-0.223) | target=(+0.400,+0.000) | delta=(-0.014,-0.223) | scale=0.038 | droll=-0.12 | ds1=-1.87 | ds2=+0.94 | req_roll=-0.12 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x107
[Visual] aim step 65/200 | phase=center | uv=(-0.014,-0.223) | target=(+0.400,+0.000) | delta=(-0.014,-0.223) | scale=0.038 | droll=-0.12 | ds1=-1.87 | ds2=+0.94 | req_roll=-0.12 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x107
[Visual] aim step 66/200 | phase=center | uv=(-0.014,-0.223) | target=(+0.400,+0.000) | delta=(-0.014,-0.223) | scale=0.038 | droll=-0.12 | ds1=-1.87 | ds2=+0.94 | req_roll=-0.12 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x107
[Visual] aim step 67/200 | phase=center | uv=(-0.014,-0.223) | target=(+0.400,+0.000) | delta=(-0.014,-0.223) | scale=0.038 | droll=-0.12 | ds1=-1.87 | ds2=+0.94 | req_roll=-0.12 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x107
[Visual] aim step 68/200 | phase=center | uv=(-0.014,-0.225) | target=(+0.400,+0.000) | delta=(-0.014,-0.225) | scale=0.038 | droll=-0.12 | ds1=-1.89 | ds2=+0.95 | req_roll=-0.12 | req_seg=+1.89 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x106
[Visual] aim step 69/200 | phase=center | uv=(-0.014,-0.225) | target=(+0.400,+0.000) | delta=(-0.014,-0.225) | scale=0.038 | droll=-0.12 | ds1=-1.89 | ds2=+0.95 | req_roll=-0.12 | req_seg=+1.89 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x106
[Visual] aim step 70/200 | phase=center | uv=(-0.013,-0.225) | target=(+0.400,+0.000) | delta=(-0.013,-0.225) | scale=0.037 | droll=-0.10 | ds1=-1.89 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.89 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x106
[Visual] aim step 71/200 | phase=center | uv=(-0.013,-0.227) | target=(+0.400,+0.000) | delta=(-0.013,-0.227) | scale=0.038 | droll=-0.10 | ds1=-1.91 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.91 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x107
[Visual] aim step 72/200 | phase=center | uv=(-0.013,-0.227) | target=(+0.400,+0.000) | delta=(-0.013,-0.227) | scale=0.038 | droll=-0.10 | ds1=-1.91 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.91 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x107
[Visual] aim step 73/200 | phase=center | uv=(-0.013,-0.227) | target=(+0.400,+0.000) | delta=(-0.013,-0.227) | scale=0.038 | droll=-0.10 | ds1=-1.91 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.91 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x107
[Visual] aim step 74/200 | phase=center | uv=(-0.013,-0.227) | target=(+0.400,+0.000) | delta=(-0.013,-0.227) | scale=0.038 | droll=-0.10 | ds1=-1.91 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.91 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x107
[Visual] aim step 75/200 | phase=center | uv=(-0.013,-0.227) | target=(+0.400,+0.000) | delta=(-0.013,-0.227) | scale=0.038 | droll=-0.10 | ds1=-1.91 | ds2=+0.95 | req_roll=-0.11 | req_seg=+1.91 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x107
